№,Тема,Вопрос,Ответ,Компании,Встречается
12,Основы Python,Как сделать копию списка?,"Есть два типа копирования: поверхностное и глубокое. Поверхностную копию списка можно сделать срезом (`b = a[:]`) или с помощью метода copy, а глубокое с помощью deepcopy.",,Часто
13,Основы Python,Какая сложность вставки элемент в список?,"Если вставка в конец, то О(1) в лучшем и среднем случае и О(n) в худшем, если заканчиваются ячейки и массив переносится в новую область памяти. Если в середину или начало, то О(n), т.к. при вставке элемента в начало или в середину элементы сдвигаются.",,Часто
14,Основы Python,Чем кортежи отличаются от списков?,"Кортежи неизменяемые, а списки изменяемые
Кортежи могут быть ключом словаря, а списки нет
Кортежи более эффективны по производительности и памяти
Пустой кортеж работает как синглтон
",,Средне
15,Основы Python,Что такое срез?,"Срез это частичная или полная поверхностная копия списка, строки или кортежа. Задается так: `a[start:stop:step]`.",,Средне
16,Основы Python,Может ли кортеж содержать изменяемые объекты?,"Да, может. В таком случае он теряет свойство хешируемости и не может быть ключом словаря.",,Часто
17,Основы Python,Можно ли изменить список лежащий внутри кортежа?,"Да, можно, потому что в кортеже лежит ссылка на список, а не сам список.",,Часто
18,Основы Python,Можно ли использовать кортеж со списком внутри как ключ словаря?,"Нет, нельзя. Ключем словаря может быть только хешируемый объект.",,Часто
19,Основы Python,"Как понять, что объект является хешируемым?","Объект называется хешируемым, если он имеет хеш-значение (целое число), которое никогда не изменяется на протяжении его жизненного цикла и возвращается методом __hash__(), и может сравниваться с другими объектами (реализует метод __eq__()). Равные хешируемые объекты должны иметь равные хеш-значения. Все стандартные неизменяемые объекты хешируемые. Все стандартные изменяемые объекты не хешируемые. Если создать свой класс, то в случае отсутствия методов __eq__ и __hash__ Python будет считать идентичные по значению полей объекты разными из-за разного id, но при этом их можно хешировать и сравнивать (хоть и не совсем корректно) ",,Часто
20,Основы Python,Что такое множество?,"Множество – это неупорядоченная коллекция хешируемых объектов, которые не повторяются. В множествах нет понятия позиции элемента. Соответственно, они не поддерживают индексацию и срезы. Встроенные классы множеств: set (изменяемое множество), frozenset (неизменяемое множество).",,Часто
21,Основы Python,Для чего обычно применяются множества?,"Обычно используются для проверки элемента на вхождение в множество и удаление повторений элементов и выполнения таких операций, как объединение, пересечение, разница и симметрическая разница. Важная особенность множества – хранение только уникальных элементов, поэтому для задач где важно получить уникальную последовательность множество подходит отлично.",,Часто
22,Основы Python,Можно ли положить изменяемый объект во множество?,"Объект встроенного типа нет, нельзя. Во множестве может быть только хешируемый объект. Но изменяемый объект созданного вручную класса можно, так как он по умолчанию хешируется по своему id.",,Часто
23,Основы Python,Что будет происходить со множеством при росте его элементов?,Чем больше элементов во множестве тем больше количество возникающих коллизий. Из-за этого эффективность поиска элемента во множестве сильно падает вплоть до О(n),,Часто
24,Основы Python,Что такое коллизия?,Коллизия это когда хеш-код двух значений одинаковый. Из-за этого в хеш-таблице по одному и тому же коду ищуются разные значения и растет сложность поиска вплоть до О(n),,Часто
25,Основы Python,Как устроен в Python метод разрешения коллизий?,В Python используется метод открытой адресации. Элемент вставляется в первую свободную ячейку после хеш-кода с коллизией,,Часто
26,Основы Python,Какая сложность поиска элемента во множестве?,"Если без коллизий, то О(1). Если с коллизиями, то вплоть до О(N)",,Часто
27,Основы Python,Какая сложность удаления элемента из множества?,"Если множество неупорядоченное то О(1), если упорядоченное то О(logn). Если есть коллизии то сложность увеличивается вплоть до О(n)",,Часто
28,Основы Python,Какая сложность вставки элемента во множество?,"Если множество неупорядоченное то О(1), если упорядоченное то О(logn). Если есть коллизии то сложность увеличивается вплоть до О(n)",,Часто
29,Основы Python,Как работает хеш-таблица?,"Хэш-таблица это разреженный массив (массив, в котором имеются незаполненные позиции). В хэш-таблице dict каждому элементу соответствует ячейка, содержащая два поля: ссылку на ключ и ссылку на значение элемента. Поскольку размер всех ячеек одинаков, доступ к отдельной ячейке производится по смещению.

Python стремится оставить не менее трети ячеек пустыми; если хэш-таблица становится чрезмерно заполненной, то она копируется в новый участок памяти, где есть место для большего числа ячеек.

Для помещения элемента в хэш-таблицу нужно первым делом вычислить хэш-значение ключа элемента. Это делает встроенная функция hash().

Для выборки значения с помощью выражения my_dict[search_key] Python обращается к функции hash(search_key), чтобы получить хэш-значение search_key, и использует несколько младших битов полученного числа как смещение ячейки относительно начала хэш-таблицы (сколько именно битов зависит от текущего размера таблицы). Если найденная ячейка пуста, возбуждается исключение KeyError. В противном случае в найденной ячейке есть какой-то элемент - пара ключ:значение - и тогда Python проверяет, верно ли то, что search_key == found_key. Если да, то элемент найден и возвращается found_value. Если же search_key и found_key не совпали, то имеет место коллизия хэширования. Для разрешения коллизии используется метод открытой адресации.

При удалении элемента из хеш-таблицы python не очищает ячейку памяти, так как при использовании метода открытой адресации нельзя будет обнаружить элементы, которые идут после удалённого при коллизии. Элементу добавляется специальный маркер, а python перехеширует всю таблицу, когда маркеров становится много.
",,Часто
30,Основы Python,Что может быть ключем словаря?,Только хешируемые объекты.,,Часто
31,Основы Python,Что такое рекурсия?,Рекурсия это когда функция вызывает саму себя. У рекурсии обязательно должно быть условие выхода.,,Иногда
32,Основы Python,Что такое замыкание?,"Синтаксически это выглядит как функция, находящаяся целиком в теле другой функции. При этом вложенная внутренняя функция содержит ссылки на локальные переменные внешней функции. Каждый раз при выполнении внешней функции происходит создание нового экземпляра внутренней функции, с новыми ссылками на переменные внешней.
Пример:

```
def outer():
   x = 10  # Переменная из внешней функции


   def inner():
       print(x)  # Использует переменную из внешней функции
   return inner  # Возвращаем внутреннюю функцию


closure = outer()  # Создаем замыкание
closure()          # Вывод: 10
```

Замыкания часто используются для создания фабрик функций, функций с состоянием и в качестве альтернативы классам (для инкапсуляции), если нужен доступ к данным, но не нужна полная структура класса. Декоратор - частный случай замыкания.
",,Иногда
33,Основы Python,Расскажи про сборщик мусора?,"Cборщик мусора в Python реализован с помощью комбинации подсчета ссылок и сборки циклических ссылок. Эти механизмы работают вместе, чтобы автоматически освобождать память, занимаемую объектами, которые больше не используются.

1. Подсчет ссылок
Подсчет ссылок — это основной механизм управления памятью в Python. Каждому объекту в Python присваивается счетчик ссылок, который показывает, сколько раз на него ссылаются. Когда этот счетчик достигает нуля, объект автоматически удаляется, а занимаемая им память освобождается. Выполняется постоянно.

2. Сборка циклических ссылок (циклический сборщик) (GC)
Подсчет ссылок не может справиться с циклическими ссылками, то есть ситуацией, когда объекты ссылаются друг на друга, образуя замкнутый круг. 
Для решения этой проблемы Python использует алгоритм отслеживания циклов, который работает параллельно с подсчетом ссылок и периодически ищет циклические зависимости объектов, которые больше не используются (не имеют доступа извне).

Циклический сборщик работает в три этапа (так называемые поколения), чтобы повысить производительность:
1. Первое поколение: Объекты, которые созданы недавно и могут быть удалены быстро, проверяются первым.
2. Второе поколение: Объекты, которые пережили первую проверку и, вероятно, будут использоваться дольше.
3. Третье поколение: Самые долгоживущие объекты, которые проверяются реже всего.
Эта модель позволяет сократить время работы сборщика мусора, так как не все объекты проверяются каждый раз.

Можно управлять сборщиком мусора через модуль gc (например, отключить его)
","Sinimex, ТуТу, Х5",Часто
34,Основы Python,Какие типы утечек памяти ты знаешь?,"Есть два больших типа – Большие объекты и много маленьких объектов. Большие объекты это когда один и тот же объект увеличивается в размерах со временем работы программы, а маленькие объекты – это когда создается множество объектов и на них ссылаются другие объекты.","Sinimex, Домклик",Часто
35,Основы Python,Как находить утечки памяти?,"Есть специализированные инструменты, например pdb, aiomonitor, pyrasite. Так же можно вручную делать периодические снимки памяти работающего приложения (через gcore) и отсматривать потребление памяти у объектов.
- pdb: Интерактивный отладчик Python, который позволяет анализировать состояние программы и находить утечки памяти
- aiomonitor: Инструмент для мониторинга асинхронных приложений, который позволяет анализировать потребление памяти.
- pyrasite: Инструмент для инъекции кода в работающие процессы Python, который позволяет анализировать состояние памяти.

Пример:

Здесь мы храним все входящие запросы в глобальном словаре requests_cache и никогда не чистим его. В итоге память будет накапливаться бесконечно (при большом количестве запросов):

```
requests_cache = {}

def handle_request(request_id, data):
    # """"Сохраняем"""" запрос
    requests_cache[request_id] = data

    # ... тут происходит обработка ...
    # но нигде не удаляем data из requests_cache

# Пример бесконечно растущей структуры.
# Если таких запросов тысячи или миллионы,
# память будет раздуваться по мере накопления данных.
```

В Python, несмотря на сборщик мусора, мы сами удерживаем ссылки в глобальном словаре. Память под объекты, на которые есть ссылки, освобождена не будет

Как избежать?
* Удалять записи по завершении обработки.
* Ограничивать размер кеша (например, через LRU-кеш).
* Следить за временем жизни элементов в кеше (TTL) и чистить устаревшие данные.","Sinimex, Домклик",Часто
110,Основы Python,Что такое декоратор? Для чего используется?,"Декоратор в Python — это функция, которая позволяет изменить или расширить поведение другой функции или метода, не изменяя их исходный код. Декоратор принимает функцию в качестве аргумента (оборачивает её), выполняет необходимые действия и возвращает новую или ту же функцию с измененным поведением. Обычно для декорации функций используется специальный синтаксис с @, чтобы облегчить чтение и использование декораторов.

Декораторы полезны для:
* Повторного использования кода — позволяют добавлять функциональность к нескольким функциям, избегая дублирования.
* Разделения ответственности — позволяют выделить общие задачи, такие как логирование, проверка прав доступа или кеширование, в отдельные функции, что упрощает поддержку и улучшает читаемость кода.

```
from functools import wraps
# Декоратор с аргументами (если аргументы не нужны, просто убрать внешнюю функу из определения)
def log_execution(level=""INFO""):
   def decorator(func):
       # wraps используется для сохранения метаданных оригинальной функции
       @wraps(func)
       def wrapper(*args, **kwargs):
           print(f""[{level}] Запуск функции '{func.__name__}' с аргументами {args} и {kwargs}"")
           result = func(*args, **kwargs)
           print(f""[{level}] Завершение функции '{func.__name__}' с   результатом {result}"")
           return result
       return wrapper
   return decorator
# Применяем декоратор с аргументом
@log_execution(level=""DEBUG"")
def add(a, b):
   """"""Функция для сложения двух чисел.""""""
   return a + b
# Используем декорированную функцию
print(add(3, 5))  # Выводит логи и результат выполнения
```

ВАЖНО
Функция log_execution называется фабрикой декораторов. Это способ создания параметризированных декораторов. Чтоб создать обычный декоратор, нужно убрать функцию log_execution и оставить внутренние две функции.
Минусы декораторов:
* Неинформативный стек вызовов при исключениях (исключение в декораторе, а не функе)
* Потеря документации функции, надо использовать functools.wraps
* Усложнение читаемости кода
* Уменьшение производительности функции
* Декоратор у метода не наследуется в классах
","Sinimex, VK, Домклик",Часто
269,Основы Python,Какая есть разница в хранении изменяемых и неизменяемых типов данных? Что происходит с ячейкой памяти при изменении неизменяемого объекта?,"При изменении неизменяемых объектов создаётся новый объект в памяти в новой ячейке, а при изменении изменяемого объекта ячейка и объект остаются теми же. Это можно проверить с помощью функции id(), которая возвращает уникальный идентификатор объекта.","VK, Домклик",Часто
270,Основы Python,Каким образом выделяется память в списке?,"Список основан на структуре данных массив, который хранить указатели на объекты его элементов. На массив динамически выделяется память примерно на 1/8 больше по размеру, чем элементов в нём хранится. Когда после добавления элементов память в массиве заканчивается, выделяется доп. память либо в той же области памяти (если есть свободные ячейки памяти сразу после массива) либо в новой области памяти, перенося весь массив туда, что в худших случах усложняет вставку в конец списка до О(n)","VK, Домклик",Средне
271,Основы Python,Что из list и tuple будет занимать больше памяти при больших данных?,"Больше памяти будет занимать список, так как для него выделяется примерно на 1/8 больше ячеек памяти, чем элементов в нём содержится, а для кортежа выделяется ровно столько памяти, сколько в нём элементов, так как он неизменяем","VK, Sinimex, Домклик",Средне
317,Основы Python,"Что такое comprehension? Генератор списков, множеств, словарей","Что такое comprehension? Генератор списков, множеств, словарей
List comprehension (или ""генератор списков"") — это способ создания нового списка на основе существующих данных с использованием краткой, лаконичной записи. Этот синтаксис позволяет избежать использования циклов for и функций, таких как map или filter, для генерации новых списков.

Синтаксис:

```
[выражение for элемент in итерация if условие]
```

Работает быстрее циклов, потому что обработка выполняется на уровне С

Генератор множеств:

```
{выражение for элемент in итерация if условие}
```

Генератор словарей:
Cинтаксис:

```
{ключ:значение for выражение in итерация if условие}
```

Пример:

```
tuples_list = [('a', 1), ('b', 2), ('c', 3)]
dict_comprehension = {key: value for key, value in tuples_list}
```

Генератор кортежей:
Компрехеншна для кортежей нет, но можно создать генераторное выражение (не список!), а потом сделать его кортежем с помощью tuple().
Пример:
```
tuple(x**2 for x in range(5))
```",Edge,Иногда
318,Основы Python,Как удалить файл в Python?,os.remove(),Айти Бастион,Редко
319,Основы Python,Алгоритмическая сложность сортировки в Python?,"Используется Timsort
В лучшем случае, когда список частично отсортирован - О(n)
В худшем O(n*log n)
",Формика,Средне
320,Основы Python,Расскажи про анонимные (lambda) функции?,"Lambda-функции в Python — это анонимные (безымянные) функции, которые можно объявить «на лету». Они создаются с помощью ключевого слова lambda и могут содержать только одно выражение (результат этого выражения возвращается автоматически).

Основные моменты:
* Однострочность — не могут использовать if else (могут только в виде тернарного оператора), циклы, операторы (return), инструкции (pass, raise, continue, try, except), документацию, иначе будет выброшен SyntaxError
* Анонимность — у функции нет имени (хотя можно присвоить её переменной, если нужно).
* Частый кейс использования — в качестве «быстрых» колбэков в функциях высшего порядка (map, filter, sorted, и т.п.).

Пример использования:

```
# Обычная функция:
def add(a, b):
    return a + b

# Lambda-функция:
add_lambda = lambda a, b: a + b

print(add(2, 3))        # 5
print(add_lambda(2, 3)) # 5
```

```
nums = [1, 2, 3, 4, 5]
squared = list(map(lambda x: x**2, nums))
print(squared)  # [1, 4, 9, 16, 25]
```
Таким образом, lambda-функции удобны, когда нужно кратко объявить простую функцию «по месту», не давая ей имени и не вынося отдельное определение.
",Аэрофлот,Часто
321,Основы Python,"Почему нельзя указывать в функции аргумент по умолчанию пустой изменяемый объект (список, словарь)?","Потому что объект будет создан при инициализации функции, из-за чего он будет накапливать в себе значения после каждого вызова функции, что приведет к неожиданному поведению.

Пример:

```
def add_item_to_list(item, items=[]):
    items.append(item)
    return items

print(add_item_to_list(""apple""))   # ['apple']
print(add_item_to_list(""banana""))  # ['apple', 'banana']
print(add_item_to_list(""melon""))   # ['apple', 'banana', 'melon']
```","Sinimex, T1, Аэрофлот, VK, Edge",Часто
322,Основы Python,Чего нового в последних версиях Python?,"* Python 3.7:
 - Датаклассы
 - Можно добавлять несколько контекстных менеджеров в один блок with
 - Словари сохраняют порядок вставки ключей
* Python 3.8:
 - Моржовый оператор :=
* Python 3.9:
 - Операторы слияния и обновления словарей (| и |=)
 - Синаксис list[int] при типизации, не нужно импортировать List из typing
 - Модуль graphlib для работы с графами
* Python 3.10:
 - match case (аналог switch case)
 - | вместо Union в типизации
 - Улучшение сообщений об ошибках
* Python 3.11:
 - Ускорение интерпретатора
 - Можно использовать несколько except в одном блоке
 - Модуль tomlib для чтения .toml
 - Добавлены группы искдючений (ExceptionGroup)
* Python 3.12:
 - Суб Интерпретаторы
* Python 3.13
 - Можно убрать gil, но это замедляет однопоточные сценарии на 10% из-за изменения механизма подсчета ссылок
 - Jit - компилятор (ускоряет выполнение кода, т.к. частые участки кода преобразуются в машинный код во время выполнения)
* Python 3.14
 - template-строки",Аэрофлот,Средне
323,Основы Python,Перечисли основные плюсы и минусы Python,"Плюсы:
* Простой и читаемый синтаксис
* Большое сообщество разработчиков и библиотек
* Динамическая типизация (типы переменных определяются во время выполнения), т.к. добавляет гибкость коду
* Объектно-ориентированный язык
* Высокоуровневая абстракция для работы с данными (множества, словари, списки)
* (Можно перечислить нововведения в последних версиях Python)
* Утиные протоколы

Минусы:
* GIL
* Интерпретируемый язык - ниже производительность, чем у компилируемых
* Отсутствие строгой типизации может привести к неочевидным ошибкам особенно среди новичков
* Нет полноценной статической типизации

Некоторые минусы можно обернуть в плюсы и наоборот
",Sinimex,Средне
324,Основы Python,Расскажи про обобщённые (TypeVar/Generic) типы?,"TypeVar - класс из модуля typing, который используется для создания обобщенных (generic) типов. Он позволяет функциям и классам работать с различными типами данных, сохраняя при этом аннотацию и проверку типов.

Пример для функции:

```
from typing import TypeVar


T = TypeVar('T')


def get_first_element(elements: list[T]) -> T:
   return elements[0]
```

Пример для класса:

```
from typing import TypeVar, Generic


T = TypeVar('T')


class Container(Generic[T]):
   def __init__(self, content: T):
       self.content = content


   def get_content(self) -> T:
       return self.content


int_container = Container[int](content=123)
str_container = Container[str](content=""Hello"")
```
Можно ограничить типы, например

```
Number = TypeVar('Number', int, float)
```",,Средне
325,Основы Python,Через какой модуль можно указывать типы в Python?,"Через typing, но с каждой версией Python всё больше возможностей встраивается в базовый синтаксис языка без импортирования typing",,Средне
326,Основы Python,Какие методы dict знаешь?,".keys() возвращает объект dict_keys([key1, key2]) - он является представлением словаря, поддерживает многократную итерацию и динамически изменяется с изменением словаря, поддерживает операции со множествами (объединения и пересечения).
.values() - объект представления списка значений, не поддерживает операции со множествами
.items() - объект представления списка кортежей с парами ключ значение, поддерживает операции со множествами
.get(key, default=None) - возвращает значение ключа. если его нет, то возвращает значение по умолчанию
dict.pop(key, default=None) - удаляет ключ и возвращает значение. исключений не бросает
dict.popitem() - удаляет последнюю добавленную пару ключ значение и возвращает их в виде кортежа
dict.setdefault(key, default=None) - возвращает значение для указанного ключа. Если ключ отсутствует, устанавливает его с значением default и возвращает default
dict.update([other]) - обновляет словарь, добавляя пары ключ-значение из other. Если ключ уже существует, его значение будет перезаписано.
.clear() - очищает словарь 
",,Иногда
327,Основы Python,Какие методы list знаешь?,".append(x)
Назначение: добавляет элемент x в конец списка.
Возвращает: None.

.extend(iterable)
Назначение: добавляет все элементы из iterable (список, кортеж, любая итерируемая структура) в конец текущего списка.
Возвращает: None.

.insert(i, x)
Назначение: вставляет элемент x перед индексом i (смещая текущий элемент на этом индексе и остальные вправо).
Возвращает: None.

.remove(x)
Назначение: удаляет первое вхождение элемента x в списке (если такого элемента нет, возбуждается ValueError).
Возвращает: None.

.pop(i=-1)
Назначение: удаляет и возвращает элемент списка по индексу i. По умолчанию (i=-1) удаляет и возвращает последний элемент. Если список пуст, вызовется исключение IndexError.
Возвращает: элемент, который был удалён.

.clear()
Назначение: удаляет все элементы из списка, оставляя пустой список.
Возвращает: None.

.index(x, start=0, end=None)
Назначение: возвращает индекс первого вхождения элемента x в списке; поиск идёт от start до end (если они указаны).
Возвращает: целое число (индекс).

.count(x)

Назначение: считает, сколько раз элемент x встречается в списке.
Возвращает: целое число (количество вхождений).

.sort(key=None, reverse=False)
Назначение: сортирует список на месте (in-place) через TimSort.
Возвращает: None.
Примечание: можно передать key — функцию (или лямбду), которая будет использоваться для сравнения, а также reverse=True для обратной сортировки.

Назначение: разворачивает список на месте.
Возвращает: None.

.copy()  (добавлен в Python 3.3+)

Назначение: возвращает поверхностную копию списка.
Возвращает: новый список.",,Редко
328,Основы Python,Какие методы set знаешь?,"* Модифицирующие методы (изменяют исходное множество)

.add(elem)
Назначение: добавляет элемент в множество. Если элемент уже присутствует, ничего не происходит.
Возвращает: None.

.remove(elem)
Назначение: удаляет элемент из множества. Если элемента нет, возбуждается KeyError.
Возвращает: None.

.discard(elem)
Назначение: удаляет элемент из множества, если он существует. Если элемента нет, исключения не возникает.
Возвращает: None.

.pop()
Назначение: удаляет и возвращает произвольный элемент множества. Если множество пустое, возбуждает KeyError.
Возвращает: удалённый элемент.

.clear()
Назначение: удаляет все элементы из множества, делая его пустым.
Возвращает: None.

.update(*others)
Назначение: добавляет в текущее множество все элементы из других множеств или итерируемых объектов. Аналог операции |=.
Возвращает: None.

.intersection_update(*others)
Назначение: оставляет в множестве только те элементы, которые присутствуют во всех переданных множествах или итерируемых объектах. Аналог операции &=.
Возвращает: None.

.difference_update(*others)
Назначение: удаляет из текущего множества все элементы, которые есть в других множествах или итерируемых объектах. Аналог операции -=.
Возвращает: None.

.symmetric_difference_update(other)
Назначение: заменяет текущее множество множеством, состоящим из элементов, которые присутствуют только в одном из множеств (исключающее ИЛИ). Аналог операции ^=.
Возвращает: None.

* Возвращающие новые множества (не изменяют исходное)
.union(*others)
Назначение: возвращает новое множество, содержащее объединение текущего множества и всех переданных множеств/итераций. Аналог операции |.
Возвращает: новое множество.

.intersection(*others)
Назначение: возвращает новое множество, содержащее пересечение текущего множества и всех переданных множеств/итераций. Аналог операции &.
Возвращает: новое множество.

.difference(*others)
Назначение: возвращает новое множество, содержащее элементы текущего множества, отсутствующие в других множествах/итерациях. Аналог операции -.
Возвращает: новое множество.

.symmetric_difference(other)
Назначение: возвращает новое множество, содержащее элементы, которые присутствуют только в одном из множеств (исключающее ИЛИ). Аналог операции ^.
Возвращает: новое множество.

* Проверочные методы (возвращают булево значение)
.issubset(other)
Назначение: проверяет, является ли текущее множество подмножеством other. Аналог <=.
Возвращает: True или False.

.issuperset(other)
Назначение: проверяет, является ли текущее множество надмножеством other. Аналог >=.
Возвращает: True или False.

.isdisjoint(other)
Назначение: проверяет, не имеют ли множества общих элементов.
Возвращает: True или False.

* Копирование
.copy()
Назначение: возвращает поверхностную копию текущего множества.
Возвращает: новое множество (shallow copy).",,Редко
329,Основы Python,Какие методы str знаешь?,"Важно: строка в Python неизменяема. Все методы, которые «меняют» строку, на самом деле возвращают новую строку, не изменяя исходную.

* Изменение регистра и форматирование
.lower()
Назначение: возвращает копию строки, где все символы приведены к нижнему регистру.
Возвращает: новую строку.

.upper()
Назначение: возвращает копию строки, где все символы приведены к верхнему регистру.
Возвращает: новую строку.

.swapcase()
Назначение: возвращает копию строки, где все символы в верхнем регистре заменены на нижний, и наоборот.
Возвращает: новую строку.

.capitalize()
Назначение: возвращает копию строки, где первый символ в верхнем регистре, а все остальные — в нижнем.
Возвращает: новую строку.

.title()
Назначение: возвращает копию строки, где первый символ каждого слова переведён в верхний регистр, а остальные — в нижний.
Возвращает: новую строку.

.casefold()
Назначение: возвращает более агрессивную (чем lower()) версию строки в нижнем регистре, подходит для безрегистрового сравнения.
Возвращает: новую строку.

* Удаление и замена подстрок
.strip([chars])
Назначение: возвращает копию строки без ведущих и завершающих символов, указанных в chars (по умолчанию — пробельные).
Возвращает: новую строку.

.lstrip([chars])
Назначение: удаляет символы (по умолчанию пробелы) только слева.
Возвращает: новую строку.

.rstrip([chars])
Назначение: удаляет символы (по умолчанию пробелы) только справа.
Возвращает: новую строку.

.replace(old, new[, count])
Назначение: возвращает копию строки, в которой все вхождения old заменены на new. Если указан count, заменяется не более count вхождений.
Возвращает: новую строку.

* Разбиение и объединение
.split(sep=None, maxsplit=-1)
Назначение: делит строку на части, используя sep как разделитель (если sep не указан, используется любой пробельный символ). Возвращает список строк.
Возвращает: список (тип list[str]).

.rsplit(sep=None, maxsplit=-1)
Назначение: то же, что и split, но разбиение происходит справа налево.
Возвращает: список.

.splitlines(keepends=False)
Назначение: разбивает строку на список строк по символам перевода строки, опционально сохраняя символы перевода.
Возвращает: список строк.

.join(iterable)
Назначение: берёт итерируемый объект (например, список) и объединяет его элементы в одну строку, вставляя между ними текущую строку как разделитель.
Возвращает: новую строку.

* Поиск подстрок
.find(sub[, start[, end]])
Назначение: возвращает индекс первого вхождения sub в диапазоне [start, end], или -1, если не найдено.
Возвращает: число (индекс или -1).

.rfind(sub[, start[, end]])
Назначение: возвращает индекс последнего вхождения sub в диапазоне [start, end], или -1, если не найдено.
Возвращает: число (индекс или -1).

.index(sub[, start[, end]])
Назначение: то же, что .find(), но возбуждает ValueError, если sub не найден.
Возвращает: число (индекс).

.rindex(sub[, start[, end]])
Назначение: то же, что .rfind(), но возбуждает ValueError, если sub не найден.
Возвращает: число (индекс).

.count(sub[, start[, end]])
Назначение: возвращает количество неперекрывающихся вхождений sub в заданном диапазоне строки.
Возвращает: число.

* Проверка содержимого
.startswith(prefix[, start[, end]])
Назначение: проверяет, начинается ли строка с prefix в диапазоне [start, end].
Возвращает: True или False.

.endswith(suffix[, start[, end]])
Назначение: проверяет, заканчивается ли строка на suffix в диапазоне [start, end].
Возвращает: True или False.

.isalnum()
Назначение: проверяет, что все символы строки — буквы или цифры (и сама строка не пустая).
Возвращает: True или False.

.isalpha()
Назначение: проверяет, что все символы — буквы (и строка не пустая).
Возвращает: True или False.

.isdigit()
Назначение: проверяет, что все символы — цифры (и строка не пустая).
Возвращает: True или False.

.islower(), .isupper(), .istitle()
Назначение: проверяют, в каком регистре находятся символы строки (при условии, что есть хотя бы одна буква).
Возвращает: True или False.

.isspace()
Назначение: проверяет, состоит ли строка только из пробельных символов (и не пустая).
Возвращает: True или False.

* Другие методы
.format(*args, **kwargs) и .format_map(mapping)
Назначение: форматирование строки с использованием подстановок.
Возвращает: новую отформатированную строку.

.encode(encoding='utf-8', errors='strict')
Назначение: кодирует строку в байтовую последовательность (bytes) с использованием указанной кодировки.
Возвращает: объект типа bytes.

.zfill(width)
Назначение: дополняет строку нулями слева до длины width.
Возвращает: новую строку.

.center(width[, fillchar]), .ljust(width[, fillchar]), .rjust(width[, fillchar])
Назначение: выравнивают строку по центру/левому/правому краю, заполняя свободное место символом fillchar (по умолчанию пробел).
Возвращает: новую строку.",,Редко
